task,step,progress,filename,source_path,dest_path,is_new,is_updated,pruned_count
acrobot-swingup,5000000,100.0,acrobot-swingup_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/acrobot-swingup/20251217_174724_expert_acrobot-swingup/wandb/run-20251217_174812-9bd4c6i3/files/media/videos/videos/eval_video_5000000_da243a6168483d37fbf2.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/acrobot-swingup_5000000.mp4,False,False,0
atari-alien,5000000,100.0,atari-alien_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-alien/20251225_180018_expert_atari-alien/wandb/run-20251225_180020-fqcn9kaz/files/media/videos/videos/eval_video_980000_04433a3b66af95e36170.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-alien_5000000.mp4,False,False,0
atari-assault,5000000,100.0,atari-assault_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-assault/20251225_180017_expert_atari-assault/wandb/run-20251225_180020-6m9ie2ss/files/media/videos/videos/eval_video_980000_c3078c9320120e736eac.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-assault_5000000.mp4,False,False,0
atari-asterix,5000000,100.0,atari-asterix_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-asterix/20251225_180017_expert_atari-asterix/wandb/run-20251225_180019-8wymwacz/files/media/videos/videos/eval_video_980000_2e6fa755bfb4298b643a.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-asterix_5000000.mp4,False,False,0
atari-atlantis,5000000,100.0,atari-atlantis_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-atlantis/20251225_180018_expert_atari-atlantis/wandb/run-20251225_180020-fatk2klp/files/media/videos/videos/eval_video_980000_bf9dfa8749521733d2aa.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-atlantis_5000000.mp4,False,False,0
atari-bank-heist,3500000,70.0,atari-bank-heist_3500000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-bank-heist/20251225_180018_expert_atari-bank-heist/wandb/run-20251225_180020-9cbolppr/files/media/videos/videos/eval_video_980000_82844cc192d99164a761.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-bank-heist_3500000.mp4,False,False,0
atari-battle-zone,4100000,82.0,atari-battle-zone_4100000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-battle-zone/20251227_022504_eval_20251226_215922_expert_atari-battle-zone/wandb/run-20251227_022506-kkdh79w3/files/media/videos/videos/eval_video_0_391202c14aa74c0d71a0.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-battle-zone_4100000.mp4,False,True,1
atari-beamrider,4100000,82.0,atari-beamrider_4100000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-beamrider/20251227_022504_eval_20251226_214427_expert_atari-beamrider/wandb/run-20251227_022506-aglj0plw/files/media/videos/videos/eval_video_0_48b02c6f5955ccc5c7fe.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-beamrider_4100000.mp4,False,True,1
atari-boxing,5000000,100.0,atari-boxing_5000000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-boxing/20251227_022441_eval_20251226_214429_expert_atari-boxing/wandb/run-20251227_022444-qlbki9tx/files/media/videos/videos/eval_video_0_6b6cb4910a0235d4dc68.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-boxing_5000000.mp4,False,False,0
atari-chopper-command,4600000,92.0,atari-chopper-command_4600000.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/logs/atari-chopper-command/20251227_022441_eval_20251226_214427_expert_atari-chopper-command/wandb/run-20251227_022444-b0xp8fbu/files/media/videos/videos/eval_video_0_22d73beee5f21da5ad59.mp4,/home/projects/dharel/nadavt/repos/newt/tdmpc2/discover/videos_for_presentation/atari-chopper-command_4600000.mp4,False,True,1
